condition,click_type,metric,mean,std
0,choose,time_to_first_choose,41.8,45.53
0,choose,mrr,0.52,0.2
0,choose,ctr@5,0.56,0.3
0,choose,time_spent,85.74,67.65
0,choose,time_to_first_click,72.85,58.74
0,choose,time_to_last_click,72.85,58.74
0,choose,ndcg@5,0.84,0.19
0,choose,ap@5,0.77,0.25
0,choose,precision@5,0.56,0.3
0,expand,time_to_first_choose,41.8,45.53
0,expand,mrr,0.49,0.13
0,expand,ctr@5,0.85,0.29
0,expand,time_spent,85.74,67.65
0,expand,time_to_first_click,20.57,22.72
0,expand,time_to_last_click,82.64,67.41
0,expand,ndcg@5,0.95,0.14
0,expand,ap@5,0.93,0.19
0,expand,precision@5,0.85,0.29
1,choose,time_to_first_choose,38.74,44.29
1,choose,mrr,0.53,0.2
1,choose,ctr@5,0.59,0.29
1,choose,time_spent,80.45,57.42
1,choose,time_to_first_click,66.47,50.91
1,choose,time_to_last_click,66.47,50.91
1,choose,ndcg@5,0.87,0.18
1,choose,ap@5,0.81,0.24
1,choose,precision@5,0.59,0.29
1,expand,time_to_first_choose,38.74,44.29
1,expand,mrr,0.49,0.14
1,expand,ctr@5,0.87,0.27
1,expand,time_spent,80.45,57.42
1,expand,time_to_first_click,20.34,30.21
1,expand,time_to_last_click,77.73,57.39
1,expand,ndcg@5,0.97,0.11
1,expand,ap@5,0.95,0.15
1,expand,precision@5,0.88,0.26
4,choose,time_to_first_choose,47.44,67.82
4,choose,mrr,0.53,0.21
4,choose,ctr@5,0.55,0.3
4,choose,time_spent,91.25,107.23
4,choose,time_to_first_click,76.78,100.8
4,choose,time_to_last_click,76.78,100.8
4,choose,ndcg@5,0.84,0.2
4,choose,ap@5,0.77,0.26
4,choose,precision@5,0.54,0.3
4,expand,time_to_first_choose,47.44,67.82
4,expand,mrr,0.47,0.08
4,expand,ctr@5,0.9,0.23
4,expand,time_spent,91.25,107.23
4,expand,time_to_first_click,29.43,63.17
4,expand,time_to_last_click,88.93,107.08
4,expand,ndcg@5,0.96,0.12
4,expand,ap@5,0.95,0.16
4,expand,precision@5,0.91,0.23
2,choose,time_to_first_choose,37.78,39.42
2,choose,mrr,0.53,0.22
2,choose,ctr@5,0.52,0.29
2,choose,time_spent,71.04,48.07
2,choose,time_to_first_click,60.88,46.81
2,choose,time_to_last_click,60.88,46.81
2,choose,ndcg@5,0.83,0.21
2,choose,ap@5,0.76,0.27
2,choose,precision@5,0.52,0.29
2,expand,time_to_first_choose,37.78,39.42
2,expand,mrr,0.49,0.16
2,expand,ctr@5,0.81,0.32
2,expand,time_spent,71.04,48.07
2,expand,time_to_first_click,22.28,28.51
2,expand,time_to_last_click,68.26,47.96
2,expand,ndcg@5,0.93,0.17
2,expand,ap@5,0.9,0.22
2,expand,precision@5,0.81,0.32
3,choose,time_to_first_choose,28.12,31.34
3,choose,mrr,0.53,0.17
3,choose,ctr@5,0.64,0.29
3,choose,time_spent,63.03,50.72
3,choose,time_to_first_click,55.03,48.32
3,choose,time_to_last_click,55.03,48.32
3,choose,ndcg@5,0.9,0.16
3,choose,ap@5,0.84,0.21
3,choose,precision@5,0.64,0.29
3,expand,time_to_first_choose,28.12,31.34
3,expand,mrr,0.49,0.12
3,expand,ctr@5,0.9,0.25
3,expand,time_spent,63.03,50.72
3,expand,time_to_first_click,14.74,21.88
3,expand,time_to_last_click,60.61,50.16
3,expand,ndcg@5,0.98,0.1
3,expand,ap@5,0.97,0.13
3,expand,precision@5,0.9,0.25
5,choose,time_to_first_choose,38.55,42.16
5,choose,mrr,0.53,0.2
5,choose,ctr@5,0.59,0.31
5,choose,time_spent,77.04,53.21
5,choose,time_to_first_click,65.61,51.63
5,choose,time_to_last_click,65.61,51.63
5,choose,ndcg@5,0.86,0.18
5,choose,ap@5,0.8,0.24
5,choose,precision@5,0.59,0.31
5,expand,time_to_first_choose,38.55,42.16
5,expand,mrr,0.48,0.13
5,expand,ctr@5,0.86,0.28
5,expand,time_spent,77.04,53.21
5,expand,time_to_first_click,19.93,27.67
5,expand,time_to_last_click,74.19,53.12
5,expand,ndcg@5,0.96,0.14
5,expand,ap@5,0.94,0.18
5,expand,precision@5,0.87,0.28
7,choose,time_to_first_choose,45.58,56.2
7,choose,mrr,0.51,0.19
7,choose,ctr@5,0.6,0.31
7,choose,time_spent,85.89,74.66
7,choose,time_to_first_click,73.39,69.02
7,choose,time_to_last_click,73.39,69.02
7,choose,ndcg@5,0.85,0.19
7,choose,ap@5,0.79,0.25
7,choose,precision@5,0.6,0.31
7,expand,time_to_first_choose,45.58,56.2
7,expand,mrr,0.47,0.12
7,expand,ctr@5,0.84,0.3
7,expand,time_spent,85.89,74.66
7,expand,time_to_first_click,30.08,43.64
7,expand,time_to_last_click,82.01,73.53
7,expand,ndcg@5,0.93,0.17
7,expand,ap@5,0.9,0.22
7,expand,precision@5,0.83,0.3
