condition,time_to_first_choose,mrr,ctr@5,time_spent,time_to_first_click,time_to_last_click,ndcg@5,ap@5,precision@5
"(0.5,0.8)",41.800 (45.530),0.490 (0.130),0.850 (0.290),85.740 (67.650),20.570 (22.720),82.640 (67.410),0.950 (0.140),0.930 (0.190),0.850 (0.290)
"(0.2,0.5)","38.740 (44.290)
0.501, 0.037","0.490 (0.140)
0.923, 0.009","0.870 (0.270)
0.478, 0.040","80.450 (57.420)
0.406, 0.050","20.340 (30.210)
0.933, 0.009","77.730 (57.390)
0.439, 0.045","0.970 (0.110)
0.233, 0.100","0.950 (0.150)
0.219, 0.106","0.880 (0.260)
0.327, 0.068"
"(0.25,0.6)","37.780 (39.420)
0.346, 0.061","0.490 (0.160)
0.993, 0.007","0.810 (0.320)
0.195, 0.115","71.040 (48.070)
0.013, 0.494","22.280 (28.510)
0.510, 0.034","68.260 (47.960)
0.015, 0.476","0.930 (0.170)
0.170, 0.130","0.900 (0.220)
0.176, 0.127","0.810 (0.320)
0.195, 0.115"
"(0.65,1.1)","28.120 (31.340)
0.001, 0.825","0.490 (0.120)
0.873, 0.011","0.900 (0.250)
0.113, 0.189","63.030 (50.720)
0.000, 0.889","14.740 (21.880)
0.011, 0.535","60.610 (50.160)
0.000, 0.871","0.980 (0.100)
0.024, 0.411","0.970 (0.130)
0.019, 0.443","0.900 (0.250)
0.103, 0.201"
"(0.75,0.85)","47.440 (67.820)
0.333, 0.065","0.470 (0.080)
0.086, 0.218","0.900 (0.230)
0.054, 0.284","91.250 (107.230)
0.541, 0.031","29.430 (63.170)
0.065, 0.263","88.930 (107.080)
0.485, 0.038","0.960 (0.120)
0.323, 0.067","0.950 (0.160)
0.330, 0.065","0.910 (0.230)
0.050, 0.297"
"(0.8,0.95)","38.550 (42.160)
0.465, 0.042","0.480 (0.130)
0.904, 0.010","0.860 (0.280)
0.700, 0.019","77.040 (53.210)
0.159, 0.142","19.930 (27.670)
0.803, 0.014","74.190 (53.120)
0.170, 0.134","0.960 (0.140)
0.717, 0.018","0.940 (0.180)
0.633, 0.024","0.870 (0.280)
0.673, 0.021"
"(0.2,0.85)","45.580 (56.200)
0.460, 0.039","0.470 (0.120)
0.314, 0.067","0.840 (0.300)
0.638, 0.021","85.890 (74.660)
0.982, 0.007","30.080 (43.640)
0.006, 0.581","82.010 (73.530)
0.929, 0.008","0.930 (0.170)
0.162, 0.133","0.900 (0.220)
0.179, 0.121","0.830 (0.300)
0.465, 0.038"
